date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/3/20,0.528301887,0.530660377,0.535555556,0.417721519,0.158536585,0.356454721,0,0.229411765,0.362204724,0.01780663,0.118927973,0.260561648,0.249042146,0.276008493,0.181818182,0.633333333,0.333333333
2013/3/21,0.41745283,0.452830189,0.446666667,0.379746835,0.451219512,0.229287091,0.024561404,0.247058824,0.456692913,0.021986845,0.18760469,0.256633689,0.14559387,0.276008493,0.181818182,0.666666667,0.5
2013/3/22,0.476415094,0.481132075,0.537777778,0.202531646,0.524390244,0.300578035,0,0.247058824,0.590551181,0.023466207,0.179229481,0.230119963,0.206896552,0.261146497,0.181818182,0.7,0.666666667
2013/3/23,0.516509434,0.471698113,0.617777778,0.227848101,0.37804878,0.277456647,0,0.247058824,0.519685039,0.027605706,0.231155779,0.301805222,0.291187739,0.354564756,0.181818182,0.733333333,0.833333333
2013/3/24,0.485849057,0.535377358,0.52,0.493670886,0.134146341,0.33911368,0,0.223529412,0.291338583,0.018878828,0.130653266,0.271363536,0.275862069,0.286624204,0.181818182,0.766666667,1
2013/3/25,0.370283019,0.443396226,0.386666667,0.493670886,0.353658537,0.366088632,0,0.305882353,0.433070866,0.027334263,0.154103853,0.201642258,0.068965517,0.220806794,0.181818182,0.8,0
2013/3/26,0.429245283,0.384433962,0.526666667,0.215189873,0.573170732,0.389210019,0.071929825,0.158823529,0.393700787,0.027117109,0.142378559,0.153524755,0.310344828,0.201698514,0.181818182,0.833333333,0.166666667
2013/3/27,0.514150943,0.429245283,0.651111111,0.113924051,0.390243902,0.269749518,0,0.247058824,0.57480315,0.031446617,0.135678392,0.221282054,0.229885057,0.233545648,0.181818182,0.866666667,0.333333333
2013/3/28,0.589622642,0.525943396,0.646666667,0.126582278,0.268292683,0.310211946,0,0.288235294,0.551181102,0.031595911,0.139028476,0.233065933,0.256704981,0.246284501,0.181818182,0.9,0.5
2013/3/29,0.490566038,0.490566038,0.537777778,0.443037975,0.414634146,0.306358382,0,0.270588235,0.42519685,0.02661494,0.22278057,0.276273486,0.210727969,0.33970276,0.181818182,0.933333333,0.666666667
